"Year","Subregion","subregion.code","Species","date","present"
1988,"Western Mediterranean Sea","MWE","Mnemiopsis leidyi A. Agassiz, 1865",1988-01-01,NA
1989,"Western Mediterranean Sea","MWE","Mnemiopsis leidyi A. Agassiz, 1865",1989-01-01,NA
1990,"Western Mediterranean Sea","MWE","Mnemiopsis leidyi A. Agassiz, 1865",1990-01-01,NA
1991,"Western Mediterranean Sea","MWE","Mnemiopsis leidyi A. Agassiz, 1865",1991-01-01,NA
1992,"Western Mediterranean Sea","MWE","Mnemiopsis leidyi A. Agassiz, 1865",1992-01-01,NA
1993,"Western Mediterranean Sea","MWE","Mnemiopsis leidyi A. Agassiz, 1865",1993-01-01,NA
1994,"Western Mediterranean Sea","MWE","Mnemiopsis leidyi A. Agassiz, 1865",1994-01-01,NA
1995,"Western Mediterranean Sea","MWE","Mnemiopsis leidyi A. Agassiz, 1865",1995-01-01,NA
1996,"Western Mediterranean Sea","MWE","Mnemiopsis leidyi A. Agassiz, 1865",1996-01-01,NA
1997,"Western Mediterranean Sea","MWE","Mnemiopsis leidyi A. Agassiz, 1865",1997-01-01,NA
1998,"Western Mediterranean Sea","MWE","Mnemiopsis leidyi A. Agassiz, 1865",1998-01-01,NA
1999,"Western Mediterranean Sea","MWE","Mnemiopsis leidyi A. Agassiz, 1865",1999-01-01,NA
2000,"Western Mediterranean Sea","MWE","Mnemiopsis leidyi A. Agassiz, 1865",2000-01-01,NA
2001,"Western Mediterranean Sea","MWE","Mnemiopsis leidyi A. Agassiz, 1865",2001-01-01,NA
2002,"Western Mediterranean Sea","MWE","Mnemiopsis leidyi A. Agassiz, 1865",2002-01-01,NA
2003,"Western Mediterranean Sea","MWE","Mnemiopsis leidyi A. Agassiz, 1865",2003-01-01,NA
2004,"Western Mediterranean Sea","MWE","Mnemiopsis leidyi A. Agassiz, 1865",2004-01-01,NA
2005,"Western Mediterranean Sea","MWE","Mnemiopsis leidyi A. Agassiz, 1865",2005-01-01,1
2006,"Western Mediterranean Sea","MWE","Mnemiopsis leidyi A. Agassiz, 1865",2006-01-01,2
2007,"Western Mediterranean Sea","MWE","Mnemiopsis leidyi A. Agassiz, 1865",2007-01-01,3
2008,"Western Mediterranean Sea","MWE","Mnemiopsis leidyi A. Agassiz, 1865",2008-01-01,4
2009,"Western Mediterranean Sea","MWE","Mnemiopsis leidyi A. Agassiz, 1865",2009-01-01,5
2000,"Bay of Biscay & Iberian Coast","ABI","Oithona davisae Ferrari F.D. & Orsi, 1984",2000-01-01,NA
2001,"Bay of Biscay & Iberian Coast","ABI","Oithona davisae Ferrari F.D. & Orsi, 1984",2001-01-01,NA
2002,"Bay of Biscay & Iberian Coast","ABI","Oithona davisae Ferrari F.D. & Orsi, 1984",2002-01-01,1
2003,"Bay of Biscay & Iberian Coast","ABI","Oithona davisae Ferrari F.D. & Orsi, 1984",2003-01-01,2
2004,"Bay of Biscay & Iberian Coast","ABI","Oithona davisae Ferrari F.D. & Orsi, 1984",2004-01-01,3
2005,"Bay of Biscay & Iberian Coast","ABI","Oithona davisae Ferrari F.D. & Orsi, 1984",2005-01-01,4
2006,"Bay of Biscay & Iberian Coast","ABI","Oithona davisae Ferrari F.D. & Orsi, 1984",2006-01-01,5
2007,"Bay of Biscay & Iberian Coast","ABI","Oithona davisae Ferrari F.D. & Orsi, 1984",2007-01-01,6
2008,"Bay of Biscay & Iberian Coast","ABI","Oithona davisae Ferrari F.D. & Orsi, 1984",2008-01-01,7
2009,"Bay of Biscay & Iberian Coast","ABI","Oithona davisae Ferrari F.D. & Orsi, 1984",2009-01-01,8
2010,"Bay of Biscay & Iberian Coast","ABI","Oithona davisae Ferrari F.D. & Orsi, 1984",2010-01-01,9
2011,"Bay of Biscay & Iberian Coast","ABI","Oithona davisae Ferrari F.D. & Orsi, 1984",2011-01-01,10
2012,"Bay of Biscay & Iberian Coast","ABI","Oithona davisae Ferrari F.D. & Orsi, 1984",2012-01-01,11
2013,"Bay of Biscay & Iberian Coast","ABI","Oithona davisae Ferrari F.D. & Orsi, 1984",2013-01-01,12
2014,"Bay of Biscay & Iberian Coast","ABI","Oithona davisae Ferrari F.D. & Orsi, 1984",2014-01-01,13
2015,"Bay of Biscay & Iberian Coast","ABI","Oithona davisae Ferrari F.D. & Orsi, 1984",2015-01-01,14
2016,"Bay of Biscay & Iberian Coast","ABI","Oithona davisae Ferrari F.D. & Orsi, 1984",2016-01-01,15
2017,"Bay of Biscay & Iberian Coast","ABI","Oithona davisae Ferrari F.D. & Orsi, 1984",2017-01-01,16
2018,"Bay of Biscay & Iberian Coast","ABI","Oithona davisae Ferrari F.D. & Orsi, 1984",2018-01-01,17
2000,"Greater North Sea","ANS","Oithona davisae Ferrari F.D. & Orsi, 1984",2000-01-01,NA
2001,"Greater North Sea","ANS","Oithona davisae Ferrari F.D. & Orsi, 1984",2001-01-01,NA
2002,"Greater North Sea","ANS","Oithona davisae Ferrari F.D. & Orsi, 1984",2002-01-01,NA
2003,"Greater North Sea","ANS","Oithona davisae Ferrari F.D. & Orsi, 1984",2003-01-01,NA
2004,"Greater North Sea","ANS","Oithona davisae Ferrari F.D. & Orsi, 1984",2004-01-01,NA
2005,"Greater North Sea","ANS","Oithona davisae Ferrari F.D. & Orsi, 1984",2005-01-01,NA
2006,"Greater North Sea","ANS","Oithona davisae Ferrari F.D. & Orsi, 1984",2006-01-01,NA
2007,"Greater North Sea","ANS","Oithona davisae Ferrari F.D. & Orsi, 1984",2007-01-01,NA
2008,"Greater North Sea","ANS","Oithona davisae Ferrari F.D. & Orsi, 1984",2008-01-01,1
2009,"Greater North Sea","ANS","Oithona davisae Ferrari F.D. & Orsi, 1984",2009-01-01,2
2010,"Greater North Sea","ANS","Oithona davisae Ferrari F.D. & Orsi, 1984",2010-01-01,3
2011,"Greater North Sea","ANS","Oithona davisae Ferrari F.D. & Orsi, 1984",2011-01-01,4
2012,"Greater North Sea","ANS","Oithona davisae Ferrari F.D. & Orsi, 1984",2012-01-01,5
2013,"Greater North Sea","ANS","Oithona davisae Ferrari F.D. & Orsi, 1984",2013-01-01,6
2014,"Greater North Sea","ANS","Oithona davisae Ferrari F.D. & Orsi, 1984",2014-01-01,7
2015,"Greater North Sea","ANS","Oithona davisae Ferrari F.D. & Orsi, 1984",2015-01-01,8
2016,"Greater North Sea","ANS","Oithona davisae Ferrari F.D. & Orsi, 1984",2016-01-01,9
2017,"Greater North Sea","ANS","Oithona davisae Ferrari F.D. & Orsi, 1984",2017-01-01,10
2018,"Greater North Sea","ANS","Oithona davisae Ferrari F.D. & Orsi, 1984",2018-01-01,11
2000,"Black Sea","BLK","Oithona davisae Ferrari F.D. & Orsi, 1984",2000-01-01,NA
2001,"Black Sea","BLK","Oithona davisae Ferrari F.D. & Orsi, 1984",2001-01-01,NA
2002,"Black Sea","BLK","Oithona davisae Ferrari F.D. & Orsi, 1984",2002-01-01,NA
2003,"Black Sea","BLK","Oithona davisae Ferrari F.D. & Orsi, 1984",2003-01-01,NA
2004,"Black Sea","BLK","Oithona davisae Ferrari F.D. & Orsi, 1984",2004-01-01,NA
2005,"Black Sea","BLK","Oithona davisae Ferrari F.D. & Orsi, 1984",2005-01-01,NA
2006,"Black Sea","BLK","Oithona davisae Ferrari F.D. & Orsi, 1984",2006-01-01,NA
2007,"Black Sea","BLK","Oithona davisae Ferrari F.D. & Orsi, 1984",2007-01-01,NA
2008,"Black Sea","BLK","Oithona davisae Ferrari F.D. & Orsi, 1984",2008-01-01,NA
2009,"Black Sea","BLK","Oithona davisae Ferrari F.D. & Orsi, 1984",2009-01-01,1
2010,"Black Sea","BLK","Oithona davisae Ferrari F.D. & Orsi, 1984",2010-01-01,2
2011,"Black Sea","BLK","Oithona davisae Ferrari F.D. & Orsi, 1984",2011-01-01,3
2012,"Black Sea","BLK","Oithona davisae Ferrari F.D. & Orsi, 1984",2012-01-01,4
2013,"Black Sea","BLK","Oithona davisae Ferrari F.D. & Orsi, 1984",2013-01-01,5
2014,"Black Sea","BLK","Oithona davisae Ferrari F.D. & Orsi, 1984",2014-01-01,6
2015,"Black Sea","BLK","Oithona davisae Ferrari F.D. & Orsi, 1984",2015-01-01,7
2016,"Black Sea","BLK","Oithona davisae Ferrari F.D. & Orsi, 1984",2016-01-01,8
2017,"Black Sea","BLK","Oithona davisae Ferrari F.D. & Orsi, 1984",2017-01-01,9
2018,"Black Sea","BLK","Oithona davisae Ferrari F.D. & Orsi, 1984",2018-01-01,10
2000,"Adriatic Sea","MAD","Oithona davisae Ferrari F.D. & Orsi, 1984",2000-01-01,NA
2001,"Adriatic Sea","MAD","Oithona davisae Ferrari F.D. & Orsi, 1984",2001-01-01,NA
2002,"Adriatic Sea","MAD","Oithona davisae Ferrari F.D. & Orsi, 1984",2002-01-01,NA
2003,"Adriatic Sea","MAD","Oithona davisae Ferrari F.D. & Orsi, 1984",2003-01-01,NA
2004,"Adriatic Sea","MAD","Oithona davisae Ferrari F.D. & Orsi, 1984",2004-01-01,NA
2005,"Adriatic Sea","MAD","Oithona davisae Ferrari F.D. & Orsi, 1984",2005-01-01,NA
2006,"Adriatic Sea","MAD","Oithona davisae Ferrari F.D. & Orsi, 1984",2006-01-01,NA
2007,"Adriatic Sea","MAD","Oithona davisae Ferrari F.D. & Orsi, 1984",2007-01-01,NA
2008,"Adriatic Sea","MAD","Oithona davisae Ferrari F.D. & Orsi, 1984",2008-01-01,NA
2009,"Adriatic Sea","MAD","Oithona davisae Ferrari F.D. & Orsi, 1984",2009-01-01,NA
2010,"Adriatic Sea","MAD","Oithona davisae Ferrari F.D. & Orsi, 1984",2010-01-01,NA
2011,"Adriatic Sea","MAD","Oithona davisae Ferrari F.D. & Orsi, 1984",2011-01-01,NA
2012,"Adriatic Sea","MAD","Oithona davisae Ferrari F.D. & Orsi, 1984",2012-01-01,NA
2013,"Adriatic Sea","MAD","Oithona davisae Ferrari F.D. & Orsi, 1984",2013-01-01,NA
2014,"Adriatic Sea","MAD","Oithona davisae Ferrari F.D. & Orsi, 1984",2014-01-01,1
2015,"Adriatic Sea","MAD","Oithona davisae Ferrari F.D. & Orsi, 1984",2015-01-01,2
2016,"Adriatic Sea","MAD","Oithona davisae Ferrari F.D. & Orsi, 1984",2016-01-01,3
2017,"Adriatic Sea","MAD","Oithona davisae Ferrari F.D. & Orsi, 1984",2017-01-01,4
2018,"Adriatic Sea","MAD","Oithona davisae Ferrari F.D. & Orsi, 1984",2018-01-01,5
2000,"Eastern Mediterranean Sea","MAL","Oithona davisae Ferrari F.D. & Orsi, 1984",2000-01-01,NA
2001,"Eastern Mediterranean Sea","MAL","Oithona davisae Ferrari F.D. & Orsi, 1984",2001-01-01,NA
2002,"Eastern Mediterranean Sea","MAL","Oithona davisae Ferrari F.D. & Orsi, 1984",2002-01-01,NA
2003,"Eastern Mediterranean Sea","MAL","Oithona davisae Ferrari F.D. & Orsi, 1984",2003-01-01,NA
2004,"Eastern Mediterranean Sea","MAL","Oithona davisae Ferrari F.D. & Orsi, 1984",2004-01-01,NA
2005,"Eastern Mediterranean Sea","MAL","Oithona davisae Ferrari F.D. & Orsi, 1984",2005-01-01,NA
2006,"Eastern Mediterranean Sea","MAL","Oithona davisae Ferrari F.D. & Orsi, 1984",2006-01-01,NA
2007,"Eastern Mediterranean Sea","MAL","Oithona davisae Ferrari F.D. & Orsi, 1984",2007-01-01,NA
2008,"Eastern Mediterranean Sea","MAL","Oithona davisae Ferrari F.D. & Orsi, 1984",2008-01-01,NA
2009,"Eastern Mediterranean Sea","MAL","Oithona davisae Ferrari F.D. & Orsi, 1984",2009-01-01,NA
2010,"Eastern Mediterranean Sea","MAL","Oithona davisae Ferrari F.D. & Orsi, 1984",2010-01-01,NA
2011,"Eastern Mediterranean Sea","MAL","Oithona davisae Ferrari F.D. & Orsi, 1984",2011-01-01,NA
2012,"Eastern Mediterranean Sea","MAL","Oithona davisae Ferrari F.D. & Orsi, 1984",2012-01-01,NA
2013,"Eastern Mediterranean Sea","MAL","Oithona davisae Ferrari F.D. & Orsi, 1984",2013-01-01,NA
2014,"Eastern Mediterranean Sea","MAL","Oithona davisae Ferrari F.D. & Orsi, 1984",2014-01-01,NA
2015,"Eastern Mediterranean Sea","MAL","Oithona davisae Ferrari F.D. & Orsi, 1984",2015-01-01,NA
2016,"Eastern Mediterranean Sea","MAL","Oithona davisae Ferrari F.D. & Orsi, 1984",2016-01-01,NA
2017,"Eastern Mediterranean Sea","MAL","Oithona davisae Ferrari F.D. & Orsi, 1984",2017-01-01,NA
2018,"Eastern Mediterranean Sea","MAL","Oithona davisae Ferrari F.D. & Orsi, 1984",2018-01-01,1
2000,"Central Mediterranean Sea","MIC","Oithona davisae Ferrari F.D. & Orsi, 1984",2000-01-01,NA
2001,"Central Mediterranean Sea","MIC","Oithona davisae Ferrari F.D. & Orsi, 1984",2001-01-01,NA
2002,"Central Mediterranean Sea","MIC","Oithona davisae Ferrari F.D. & Orsi, 1984",2002-01-01,NA
2003,"Central Mediterranean Sea","MIC","Oithona davisae Ferrari F.D. & Orsi, 1984",2003-01-01,NA
2004,"Central Mediterranean Sea","MIC","Oithona davisae Ferrari F.D. & Orsi, 1984",2004-01-01,NA
2005,"Central Mediterranean Sea","MIC","Oithona davisae Ferrari F.D. & Orsi, 1984",2005-01-01,NA
2006,"Central Mediterranean Sea","MIC","Oithona davisae Ferrari F.D. & Orsi, 1984",2006-01-01,NA
2007,"Central Mediterranean Sea","MIC","Oithona davisae Ferrari F.D. & Orsi, 1984",2007-01-01,NA
2008,"Central Mediterranean Sea","MIC","Oithona davisae Ferrari F.D. & Orsi, 1984",2008-01-01,NA
2009,"Central Mediterranean Sea","MIC","Oithona davisae Ferrari F.D. & Orsi, 1984",2009-01-01,NA
2010,"Central Mediterranean Sea","MIC","Oithona davisae Ferrari F.D. & Orsi, 1984",2010-01-01,NA
2011,"Central Mediterranean Sea","MIC","Oithona davisae Ferrari F.D. & Orsi, 1984",2011-01-01,NA
2012,"Central Mediterranean Sea","MIC","Oithona davisae Ferrari F.D. & Orsi, 1984",2012-01-01,NA
2013,"Central Mediterranean Sea","MIC","Oithona davisae Ferrari F.D. & Orsi, 1984",2013-01-01,NA
2014,"Central Mediterranean Sea","MIC","Oithona davisae Ferrari F.D. & Orsi, 1984",2014-01-01,1
2015,"Central Mediterranean Sea","MIC","Oithona davisae Ferrari F.D. & Orsi, 1984",2015-01-01,2
2016,"Central Mediterranean Sea","MIC","Oithona davisae Ferrari F.D. & Orsi, 1984",2016-01-01,3
2017,"Central Mediterranean Sea","MIC","Oithona davisae Ferrari F.D. & Orsi, 1984",2017-01-01,4
2018,"Central Mediterranean Sea","MIC","Oithona davisae Ferrari F.D. & Orsi, 1984",2018-01-01,5
2000,"Western Mediterranean Sea","MWE","Oithona davisae Ferrari F.D. & Orsi, 1984",2000-01-01,1
2001,"Western Mediterranean Sea","MWE","Oithona davisae Ferrari F.D. & Orsi, 1984",2001-01-01,2
2002,"Western Mediterranean Sea","MWE","Oithona davisae Ferrari F.D. & Orsi, 1984",2002-01-01,3
2003,"Western Mediterranean Sea","MWE","Oithona davisae Ferrari F.D. & Orsi, 1984",2003-01-01,4
2004,"Western Mediterranean Sea","MWE","Oithona davisae Ferrari F.D. & Orsi, 1984",2004-01-01,5
2005,"Western Mediterranean Sea","MWE","Oithona davisae Ferrari F.D. & Orsi, 1984",2005-01-01,6
2006,"Western Mediterranean Sea","MWE","Oithona davisae Ferrari F.D. & Orsi, 1984",2006-01-01,7
2007,"Western Mediterranean Sea","MWE","Oithona davisae Ferrari F.D. & Orsi, 1984",2007-01-01,8
2008,"Western Mediterranean Sea","MWE","Oithona davisae Ferrari F.D. & Orsi, 1984",2008-01-01,9
2009,"Western Mediterranean Sea","MWE","Oithona davisae Ferrari F.D. & Orsi, 1984",2009-01-01,10
2010,"Western Mediterranean Sea","MWE","Oithona davisae Ferrari F.D. & Orsi, 1984",2010-01-01,11
2011,"Western Mediterranean Sea","MWE","Oithona davisae Ferrari F.D. & Orsi, 1984",2011-01-01,12
2012,"Western Mediterranean Sea","MWE","Oithona davisae Ferrari F.D. & Orsi, 1984",2012-01-01,13
2013,"Western Mediterranean Sea","MWE","Oithona davisae Ferrari F.D. & Orsi, 1984",2013-01-01,14
2014,"Western Mediterranean Sea","MWE","Oithona davisae Ferrari F.D. & Orsi, 1984",2014-01-01,15
2015,"Western Mediterranean Sea","MWE","Oithona davisae Ferrari F.D. & Orsi, 1984",2015-01-01,16
2016,"Western Mediterranean Sea","MWE","Oithona davisae Ferrari F.D. & Orsi, 1984",2016-01-01,17
2017,"Western Mediterranean Sea","MWE","Oithona davisae Ferrari F.D. & Orsi, 1984",2017-01-01,18
2018,"Western Mediterranean Sea","MWE","Oithona davisae Ferrari F.D. & Orsi, 1984",2018-01-01,19
1998,"Bay of Biscay & Iberian Coast","ABI","Palaemon macrodactylus Rathbun, 1902",1998-01-01,NA
1999,"Bay of Biscay & Iberian Coast","ABI","Palaemon macrodactylus Rathbun, 1902",1999-01-01,1
2000,"Bay of Biscay & Iberian Coast","ABI","Palaemon macrodactylus Rathbun, 1902",2000-01-01,2
2001,"Bay of Biscay & Iberian Coast","ABI","Palaemon macrodactylus Rathbun, 1902",2001-01-01,3
2002,"Bay of Biscay & Iberian Coast","ABI","Palaemon macrodactylus Rathbun, 1902",2002-01-01,4
2003,"Bay of Biscay & Iberian Coast","ABI","Palaemon macrodactylus Rathbun, 1902",2003-01-01,5
2004,"Bay of Biscay & Iberian Coast","ABI","Palaemon macrodactylus Rathbun, 1902",2004-01-01,6
2005,"Bay of Biscay & Iberian Coast","ABI","Palaemon macrodactylus Rathbun, 1902",2005-01-01,7
2006,"Bay of Biscay & Iberian Coast","ABI","Palaemon macrodactylus Rathbun, 1902",2006-01-01,8
2007,"Bay of Biscay & Iberian Coast","ABI","Palaemon macrodactylus Rathbun, 1902",2007-01-01,9
2008,"Bay of Biscay & Iberian Coast","ABI","Palaemon macrodactylus Rathbun, 1902",2008-01-01,10
2009,"Bay of Biscay & Iberian Coast","ABI","Palaemon macrodactylus Rathbun, 1902",2009-01-01,11
2010,"Bay of Biscay & Iberian Coast","ABI","Palaemon macrodactylus Rathbun, 1902",2010-01-01,12
2011,"Bay of Biscay & Iberian Coast","ABI","Palaemon macrodactylus Rathbun, 1902",2011-01-01,13
2012,"Bay of Biscay & Iberian Coast","ABI","Palaemon macrodactylus Rathbun, 1902",2012-01-01,14
2013,"Bay of Biscay & Iberian Coast","ABI","Palaemon macrodactylus Rathbun, 1902",2013-01-01,15
2014,"Bay of Biscay & Iberian Coast","ABI","Palaemon macrodactylus Rathbun, 1902",2014-01-01,16
1998,"Celtic Seas","ACS","Palaemon macrodactylus Rathbun, 1902",1998-01-01,NA
1999,"Celtic Seas","ACS","Palaemon macrodactylus Rathbun, 1902",1999-01-01,NA
2000,"Celtic Seas","ACS","Palaemon macrodactylus Rathbun, 1902",2000-01-01,NA
2001,"Celtic Seas","ACS","Palaemon macrodactylus Rathbun, 1902",2001-01-01,NA
2002,"Celtic Seas","ACS","Palaemon macrodactylus Rathbun, 1902",2002-01-01,NA
2003,"Celtic Seas","ACS","Palaemon macrodactylus Rathbun, 1902",2003-01-01,NA
2004,"Celtic Seas","ACS","Palaemon macrodactylus Rathbun, 1902",2004-01-01,NA
2005,"Celtic Seas","ACS","Palaemon macrodactylus Rathbun, 1902",2005-01-01,NA
2006,"Celtic Seas","ACS","Palaemon macrodactylus Rathbun, 1902",2006-01-01,1
2007,"Celtic Seas","ACS","Palaemon macrodactylus Rathbun, 1902",2007-01-01,2
2008,"Celtic Seas","ACS","Palaemon macrodactylus Rathbun, 1902",2008-01-01,3
2009,"Celtic Seas","ACS","Palaemon macrodactylus Rathbun, 1902",2009-01-01,4
2010,"Celtic Seas","ACS","Palaemon macrodactylus Rathbun, 1902",2010-01-01,5
2011,"Celtic Seas","ACS","Palaemon macrodactylus Rathbun, 1902",2011-01-01,6
2012,"Celtic Seas","ACS","Palaemon macrodactylus Rathbun, 1902",2012-01-01,7
2013,"Celtic Seas","ACS","Palaemon macrodactylus Rathbun, 1902",2013-01-01,8
2014,"Celtic Seas","ACS","Palaemon macrodactylus Rathbun, 1902",2014-01-01,9
1998,"Greater North Sea","ANS","Palaemon macrodactylus Rathbun, 1902",1998-01-01,1
1999,"Greater North Sea","ANS","Palaemon macrodactylus Rathbun, 1902",1999-01-01,2
2000,"Greater North Sea","ANS","Palaemon macrodactylus Rathbun, 1902",2000-01-01,3
2001,"Greater North Sea","ANS","Palaemon macrodactylus Rathbun, 1902",2001-01-01,4
2002,"Greater North Sea","ANS","Palaemon macrodactylus Rathbun, 1902",2002-01-01,5
2003,"Greater North Sea","ANS","Palaemon macrodactylus Rathbun, 1902",2003-01-01,6
2004,"Greater North Sea","ANS","Palaemon macrodactylus Rathbun, 1902",2004-01-01,7
2005,"Greater North Sea","ANS","Palaemon macrodactylus Rathbun, 1902",2005-01-01,8
2006,"Greater North Sea","ANS","Palaemon macrodactylus Rathbun, 1902",2006-01-01,9
2007,"Greater North Sea","ANS","Palaemon macrodactylus Rathbun, 1902",2007-01-01,10
2008,"Greater North Sea","ANS","Palaemon macrodactylus Rathbun, 1902",2008-01-01,11
2009,"Greater North Sea","ANS","Palaemon macrodactylus Rathbun, 1902",2009-01-01,12
2010,"Greater North Sea","ANS","Palaemon macrodactylus Rathbun, 1902",2010-01-01,13
2011,"Greater North Sea","ANS","Palaemon macrodactylus Rathbun, 1902",2011-01-01,14
2012,"Greater North Sea","ANS","Palaemon macrodactylus Rathbun, 1902",2012-01-01,15
2013,"Greater North Sea","ANS","Palaemon macrodactylus Rathbun, 1902",2013-01-01,16
2014,"Greater North Sea","ANS","Palaemon macrodactylus Rathbun, 1902",2014-01-01,17
1998,"Baltic Sea","BAL","Palaemon macrodactylus Rathbun, 1902",1998-01-01,NA
1999,"Baltic Sea","BAL","Palaemon macrodactylus Rathbun, 1902",1999-01-01,NA
2000,"Baltic Sea","BAL","Palaemon macrodactylus Rathbun, 1902",2000-01-01,NA
2001,"Baltic Sea","BAL","Palaemon macrodactylus Rathbun, 1902",2001-01-01,NA
2002,"Baltic Sea","BAL","Palaemon macrodactylus Rathbun, 1902",2002-01-01,NA
2003,"Baltic Sea","BAL","Palaemon macrodactylus Rathbun, 1902",2003-01-01,NA
2004,"Baltic Sea","BAL","Palaemon macrodactylus Rathbun, 1902",2004-01-01,NA
2005,"Baltic Sea","BAL","Palaemon macrodactylus Rathbun, 1902",2005-01-01,NA
2006,"Baltic Sea","BAL","Palaemon macrodactylus Rathbun, 1902",2006-01-01,NA
2007,"Baltic Sea","BAL","Palaemon macrodactylus Rathbun, 1902",2007-01-01,NA
2008,"Baltic Sea","BAL","Palaemon macrodactylus Rathbun, 1902",2008-01-01,NA
2009,"Baltic Sea","BAL","Palaemon macrodactylus Rathbun, 1902",2009-01-01,NA
2010,"Baltic Sea","BAL","Palaemon macrodactylus Rathbun, 1902",2010-01-01,NA
2011,"Baltic Sea","BAL","Palaemon macrodactylus Rathbun, 1902",2011-01-01,NA
2012,"Baltic Sea","BAL","Palaemon macrodactylus Rathbun, 1902",2012-01-01,NA
2013,"Baltic Sea","BAL","Palaemon macrodactylus Rathbun, 1902",2013-01-01,NA
2014,"Baltic Sea","BAL","Palaemon macrodactylus Rathbun, 1902",2014-01-01,1
1998,"Black Sea","BLK","Palaemon macrodactylus Rathbun, 1902",1998-01-01,NA
1999,"Black Sea","BLK","Palaemon macrodactylus Rathbun, 1902",1999-01-01,NA
2000,"Black Sea","BLK","Palaemon macrodactylus Rathbun, 1902",2000-01-01,NA
2001,"Black Sea","BLK","Palaemon macrodactylus Rathbun, 1902",2001-01-01,NA
2002,"Black Sea","BLK","Palaemon macrodactylus Rathbun, 1902",2002-01-01,1
2003,"Black Sea","BLK","Palaemon macrodactylus Rathbun, 1902",2003-01-01,2
2004,"Black Sea","BLK","Palaemon macrodactylus Rathbun, 1902",2004-01-01,3
2005,"Black Sea","BLK","Palaemon macrodactylus Rathbun, 1902",2005-01-01,4
2006,"Black Sea","BLK","Palaemon macrodactylus Rathbun, 1902",2006-01-01,5
2007,"Black Sea","BLK","Palaemon macrodactylus Rathbun, 1902",2007-01-01,6
2008,"Black Sea","BLK","Palaemon macrodactylus Rathbun, 1902",2008-01-01,7
2009,"Black Sea","BLK","Palaemon macrodactylus Rathbun, 1902",2009-01-01,8
2010,"Black Sea","BLK","Palaemon macrodactylus Rathbun, 1902",2010-01-01,9
2011,"Black Sea","BLK","Palaemon macrodactylus Rathbun, 1902",2011-01-01,10
2012,"Black Sea","BLK","Palaemon macrodactylus Rathbun, 1902",2012-01-01,11
2013,"Black Sea","BLK","Palaemon macrodactylus Rathbun, 1902",2013-01-01,12
2014,"Black Sea","BLK","Palaemon macrodactylus Rathbun, 1902",2014-01-01,13
1998,"Adriatic Sea","MAD","Palaemon macrodactylus Rathbun, 1902",1998-01-01,NA
1999,"Adriatic Sea","MAD","Palaemon macrodactylus Rathbun, 1902",1999-01-01,NA
2000,"Adriatic Sea","MAD","Palaemon macrodactylus Rathbun, 1902",2000-01-01,NA
2001,"Adriatic Sea","MAD","Palaemon macrodactylus Rathbun, 1902",2001-01-01,NA
2002,"Adriatic Sea","MAD","Palaemon macrodactylus Rathbun, 1902",2002-01-01,NA
2003,"Adriatic Sea","MAD","Palaemon macrodactylus Rathbun, 1902",2003-01-01,NA
2004,"Adriatic Sea","MAD","Palaemon macrodactylus Rathbun, 1902",2004-01-01,NA
2005,"Adriatic Sea","MAD","Palaemon macrodactylus Rathbun, 1902",2005-01-01,NA
2006,"Adriatic Sea","MAD","Palaemon macrodactylus Rathbun, 1902",2006-01-01,NA
2007,"Adriatic Sea","MAD","Palaemon macrodactylus Rathbun, 1902",2007-01-01,NA
2008,"Adriatic Sea","MAD","Palaemon macrodactylus Rathbun, 1902",2008-01-01,NA
2009,"Adriatic Sea","MAD","Palaemon macrodactylus Rathbun, 1902",2009-01-01,NA
2010,"Adriatic Sea","MAD","Palaemon macrodactylus Rathbun, 1902",2010-01-01,NA
2011,"Adriatic Sea","MAD","Palaemon macrodactylus Rathbun, 1902",2011-01-01,1
2012,"Adriatic Sea","MAD","Palaemon macrodactylus Rathbun, 1902",2012-01-01,2
2013,"Adriatic Sea","MAD","Palaemon macrodactylus Rathbun, 1902",2013-01-01,3
2014,"Adriatic Sea","MAD","Palaemon macrodactylus Rathbun, 1902",2014-01-01,4
1998,"Western Mediterranean Sea","MWE","Palaemon macrodactylus Rathbun, 1902",1998-01-01,NA
1999,"Western Mediterranean Sea","MWE","Palaemon macrodactylus Rathbun, 1902",1999-01-01,NA
2000,"Western Mediterranean Sea","MWE","Palaemon macrodactylus Rathbun, 1902",2000-01-01,NA
2001,"Western Mediterranean Sea","MWE","Palaemon macrodactylus Rathbun, 1902",2001-01-01,NA
2002,"Western Mediterranean Sea","MWE","Palaemon macrodactylus Rathbun, 1902",2002-01-01,NA
2003,"Western Mediterranean Sea","MWE","Palaemon macrodactylus Rathbun, 1902",2003-01-01,NA
2004,"Western Mediterranean Sea","MWE","Palaemon macrodactylus Rathbun, 1902",2004-01-01,NA
2005,"Western Mediterranean Sea","MWE","Palaemon macrodactylus Rathbun, 1902",2005-01-01,1
2006,"Western Mediterranean Sea","MWE","Palaemon macrodactylus Rathbun, 1902",2006-01-01,2
2007,"Western Mediterranean Sea","MWE","Palaemon macrodactylus Rathbun, 1902",2007-01-01,3
2008,"Western Mediterranean Sea","MWE","Palaemon macrodactylus Rathbun, 1902",2008-01-01,4
2009,"Western Mediterranean Sea","MWE","Palaemon macrodactylus Rathbun, 1902",2009-01-01,5
2010,"Western Mediterranean Sea","MWE","Palaemon macrodactylus Rathbun, 1902",2010-01-01,6
